id,n_condition_tokens,condition_present,condition_present_count,n_condition_tokens_matched,negation_count_total,nearest_negation_distance,neg_before_condition,neg_after_condition,neg_within_5,neg_within_10,neg_within_20,neg_within_50,condition_negated_exact,condition_affirmed,condition_negated,condition_unknown_h19
376,4,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
646,5,1,2,2,13,2351.0,0,0,0,0,0,0,0,1,0,0
16,5,1,2,1,1,203.0,0,0,0,0,0,0,0,1,0,0
14,4,1,2,1,1,203.0,0,0,0,0,0,0,0,1,0,0
300,5,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
156,5,1,6,1,3,4.0,0,1,1,1,1,1,1,0,1,0
702,3,1,1,1,31,80.0,0,0,0,0,0,0,0,1,0,0
96,4,1,1,1,2,419.0,0,0,0,0,0,0,0,1,0,0
62,5,1,6,3,1,203.0,0,0,0,0,0,0,0,1,0,0
281,12,1,1,1,20,69.0,0,0,0,0,0,0,0,1,0,0
89,4,1,1,1,9,215.0,0,0,0,0,0,0,0,1,0,0
20,15,1,10,4,1,203.0,0,0,0,0,0,0,0,1,0,0
102,4,1,1,1,7,1603.0,0,0,0,0,0,0,0,1,0,0
820,5,1,3,2,0,100.0,0,0,0,0,0,0,0,1,0,0
229,5,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
636,12,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
416,6,1,5,3,12,11.0,1,0,0,0,1,1,1,0,1,0
345,3,0,0,0,5,100.0,0,0,0,0,0,0,0,0,0,1
718,9,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
656,5,1,1,1,15,1856.0,0,0,0,0,0,0,0,1,0,0
108,5,1,4,1,5,59.0,0,0,0,0,0,0,0,1,0,0
727,5,1,2,1,4,3673.0,0,0,0,0,0,0,0,1,0,0
736,5,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
498,6,1,2,2,92,100.0,0,0,0,0,0,0,0,1,0,0
550,5,1,2,2,54,8.0,1,0,0,1,1,1,1,0,1,0
824,6,1,3,2,0,100.0,0,0,0,0,0,0,0,1,0,0
794,9,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
816,12,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
844,9,1,1,1,19,162.0,0,0,0,0,0,0,0,1,0,0
818,14,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
92,4,1,1,1,2,419.0,0,0,0,0,0,0,0,1,0,0
276,5,1,1,1,20,69.0,0,0,0,0,0,0,0,1,0,0
797,6,1,4,2,2,27.0,1,0,0,0,0,1,1,0,1,0
341,5,1,4,2,1,271.0,0,0,0,0,0,0,0,1,0,0
582,5,1,2,2,92,60.0,0,0,0,0,0,0,0,1,0,0
344,4,1,2,1,5,217.0,0,0,0,0,0,0,0,1,0,0
807,6,1,1,1,10,1.0,0,1,1,1,1,1,1,0,1,0
97,4,1,1,1,2,419.0,0,0,0,0,0,0,0,1,0,0
752,5,1,3,2,3,114.0,0,0,0,0,0,0,0,1,0,0
445,3,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,1
230,6,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
568,5,1,4,3,5,203.0,0,0,0,0,0,0,0,1,0,0
329,6,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
840,15,1,3,3,19,162.0,0,0,0,0,0,0,0,1,0,0
253,5,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
214,4,0,0,0,8,100.0,0,0,0,0,0,0,0,0,0,1
569,7,1,5,4,5,203.0,0,0,0,0,0,0,0,1,0,0
354,7,1,2,2,119,28.0,1,0,0,0,0,1,1,0,1,0
377,5,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
744,9,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
162,5,1,6,1,3,4.0,0,1,1,1,1,1,1,0,1,0
722,4,1,16,2,25,874.0,0,0,0,0,0,0,0,1,0,0
